"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"RB1","14","3 out of 5 stars","0"
"2",1,"Christian McCaffrey",CAR,"RB2","13","3 out of 5 stars","0"
"3",1,"Derrick Henry",TEN,"RB3","6","4 out of 5 stars","+1"
"4",1,"Dalvin Cook",MIN,"RB4","7","4 out of 5 stars","+2"
"5",1,"Austin Ekeler",LAC,"RB5","8","2 out of 5 stars","-2"
"6",1,"Joe Mixon",CIN,"RB6","10","3 out of 5 stars","+3"
"7",2,"Najee Harris",PIT,"RB7","9","3 out of 5 stars","+1"
"8",2,"Justin Jefferson",MIN,"WR1","7","2 out of 5 stars","-1"
"9",2,"Cooper Kupp",LAR,"WR2","7","2 out of 5 stars","-4"
"10",2,"Nick Chubb",CLE,"RB8","9","3 out of 5 stars","+4"
"11",2,"Ja'Marr Chase",CIN,"WR3","10","3 out of 5 stars","-1"
"12",2,"Alvin Kamara",NO,"RB9","14","3 out of 5 stars","-1"
"13",2,"Mark Andrews",BAL,"TE1","10","2 out of 5 stars","+12"
"14",3,"Saquon Barkley",NYG,"RB10","9","3 out of 5 stars","+1"
"15",3,"D'Andre Swift",DET,"RB11","6","4 out of 5 stars","-3"
"16",3,"Travis Kelce",KC,"TE2","8","3 out of 5 stars","+1"
"17",3,"Stefon Diggs",BUF,"WR4","7","4 out of 5 stars","-1"
"18",3,"Davante Adams",LV,"WR5","6","2 out of 5 stars","-5"
"19",3,"Deebo Samuel",SF,"WR6","9","3 out of 5 stars","+3"
"20",3,"Javonte Williams",DEN,"RB12","9","3 out of 5 stars","-2"
"21",3,"Aaron Jones",GB,"RB13","14","3 out of 5 stars","-1"
"22",3,"CeeDee Lamb",DAL,"WR7","9","3 out of 5 stars","-1"
"23",3,"Leonard Fournette",TB,"RB14","11","2 out of 5 stars","+1"
"24",3,"Mike Evans",TB,"WR8","11","4 out of 5 stars","+2"
"25",4,"Tyreek Hill",MIA,"WR9","11","2 out of 5 stars","-2"
"26",4,"James Conner",ARI,"RB15","13","2 out of 5 stars","+1"
"27",4,"A.J. Brown",PHI,"WR10","7","4 out of 5 stars","+3"
"28",4,"Kyle Pitts",ATL,"TE3","14","2 out of 5 stars","+3"
"29",4,"Tee Higgins",CIN,"WR11","10","3 out of 5 stars","+6"
"30",4,"Ezekiel Elliott",DAL,"RB16","9","4 out of 5 stars","-2"
"31",4,"Michael Pittman Jr.",IND,"WR12","14","4 out of 5 stars","+3"
"32",4,"Josh Allen",BUF,"QB1","7","3 out of 5 stars","-13"
"33",4,"DJ Moore",CAR,"WR13","13","3 out of 5 stars","+7"
"34",4,"Courtland Sutton",DEN,"WR14","9","4 out of 5 stars","+8"
"35",4,"Keenan Allen",LAC,"WR15","8","3 out of 5 stars","-3"
"36",4,"Mike Williams",LAC,"WR16","8","3 out of 5 stars","+8"
"37",5,"Terry McLaurin",WAS,"WR17","14","4 out of 5 stars","+8"
"38",5,"Travis Etienne Jr.",JAC,"RB17","11","3 out of 5 stars","-2"
"39",5,"David Montgomery",CHI,"RB18","14","5 out of 5 stars","-1"
"40",5,"Breece Hall",NYJ,"RB19","10","4 out of 5 stars","+1"
"41",5,"Justin Herbert",LAC,"QB2","8","3 out of 5 stars","-8"
"42",5,"Elijah Mitchell",SF,"RB20","9","2 out of 5 stars","+4"
"43",5,"Cam Akers",LAR,"RB21","7","2 out of 5 stars","-6"
"44",5,"Gabriel Davis",BUF,"WR18","7","4 out of 5 stars","+18"
